record_id,source,material_code,description,attributes,ground_truth_group,variant
cpse-06780,maintenance,MOTOR-06780,MATÉRIEL INDUCTION MOTOR 5 KW 415 V,"{""size"": ""5 kW"", ""voltage"": ""415 V""}",motor,multilingual
cpse-00242,catalogue,BOLT_C-00242,БОЛТ СТАЛЬ M10 КЛАСС C,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014""}",bolt_c,multilingual
cpse-02347,erp,VALVE-02347,GATE VALVE 50 MM 150 PSI,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600""}",valve,near_duplicate
cpse-00935,catalogue,GASKET-00935,MATÉRIEL SPIRAL WOUND GASKET DN50,"{""size"": ""DN50"", ""standard"": ""ASME B16.20""}",gasket,multilingual
cpse-01109,catalogue,WASHER-01109,STL WASHER M10,"{""size"": ""M10"", ""standard"": ""ISO 7089""}",washer,abbreviation
cpse-04384,erp,NUT_M10-04384,CARBON STEEL HEX NUT M10 GRADE B,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032""}",nut_m10,near_duplicate
cpse-07947,maintenance,BOLT_M12-07947,CARBON STEEL HEX BOLT M12 GRADE B,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014""}",bolt_m12,near_duplicate
cpse-08749,erp,BOLT_B-08749,STEEL FASTENER M10 GRADE B,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014""}",bolt_b,terminology
cpse-09709,erp,UNRELATED_809-09709,UNRELATED MATERIAL 809 CERAMIC LINER,"{""size"": ""909 mm"", ""standard"": ""CPSE-OTHER""}",unrelated_809,unrelated
cpse-01467,maintenance,BOLT_M12-01467,MATÉRIEL STEEL BOLT M12 GRADE B,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014""}",bolt_m12,multilingual
cpse-05036,catalogue,CABLE-05036,POWER CABLE 4 CORE 240 V,"{""size"": ""4 core"", ""voltage"": ""240 V""}",cable,abbreviation
cpse-00252,maintenance,UNRELATED_20-00252,UNRELATED MATERIAL 20 CERAMIC LINER,"{""size"": ""120 mm"", ""standard"": ""CPSE-OTHER""}",unrelated_20,unrelated
cpse-00710,catalogue,BOLT_C-00710,STL BLT M10 GR C,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014""}",bolt_c,abbreviation
cpse-05756,catalogue,CABLE-05756,POWER CABLE 4 CORE 240 V,"{""size"": ""4 core"", ""voltage"": ""240 V""}",cable,near_duplicate
